Gene,MutSig(Q-value),# Mut,#,Freq,Is Cancer Gene (source: OncoKB)
H3F3A,,6,6,42.90%,Yes
TP53,,5,5,35.70%,Yes
PIK3CA,,3,3,21.40%,Yes
ACVR1,,2,2,14.30%,Yes
KIR2DL3,,2,2,14.30%,No
PLCG2,,2,2,14.30%,Yes
RET,,2,2,14.30%,Yes
TBX18,,2,2,14.30%,No
TENM1,,2,2,14.30%,No
RAMP2,,2,2,14.30%,No
SYNCRIP,,2,2,14.30%,No
SLC24A2,,2,2,14.30%,No
CYP39A1,,2,2,14.30%,No
BIN2,,2,2,14.30%,No
NKRF,,2,2,14.30%,No
PCDHB12,,2,2,14.30%,No
PIEZO2,,2,2,14.30%,No
APOO,,2,2,14.30%,No
SAMD1,,2,2,14.30%,No
C10ORF71,,2,2,14.30%,No
RPTN,,2,2,14.30%,No
ZSCAN1,,2,2,14.30%,No
HRNR,,2,2,14.30%,No
TEX13C,,3,2,14.30%,No
FAM237B,,2,2,14.30%,No
ATP2A3,,1,1,7.10%,No
KLF6,,1,1,7.10%,Yes
CPT1A,,1,1,7.10%,No
CYP2D7,,1,1,7.10%,No
CYP8B1,,1,1,7.10%,No
DIAPH2,,1,1,7.10%,No
DNAH5,,1,1,7.10%,No
EEF1A1,,1,1,7.10%,No
ELAVL2,,1,1,7.10%,No
BPTF,,1,1,7.10%,No
FLG,,1,1,7.10%,No
GLDC,,1,1,7.10%,No
GPR32,,1,1,7.10%,No
GRB14,,1,1,7.10%,No
GRM6,,1,1,7.10%,No
GUCY1A1,,1,1,7.10%,No
GYPB,,1,1,7.10%,No
HLA-A,,1,1,7.10%,Yes
HOXA10,,1,1,7.10%,No
HOXD1,,1,1,7.10%,No
HSD17B1,,1,1,7.10%,No
IDO1,,1,1,7.10%,No
ITGAL,,1,1,7.10%,No
ITPR3,,1,1,7.10%,No
IVL,,1,1,7.10%,No
L1CAM,,1,1,7.10%,No
LDHC,,1,1,7.10%,No
LRP2,,1,1,7.10%,No
MTHFD1,,1,1,7.10%,No
NEUROD2,,1,1,7.10%,No
NKX6-1,,1,1,7.10%,No
NPY1R,,1,1,7.10%,No
NUP98,,1,1,7.10%,Yes
PLTP,,1,1,7.10%,No
PLXNA1,,1,1,7.10%,No
POU3F2,,1,1,7.10%,No
PRSS3,,1,1,7.10%,No
PSG7,,1,1,7.10%,No
PTEN,,2,1,7.10%,Yes
PTPRD,,1,1,7.10%,Yes
RHCE,,1,1,7.10%,No
SLC8A2,,1,1,7.10%,No
SMARCC2,,1,1,7.10%,No
SOX1,,1,1,7.10%,No
SURF4,,1,1,7.10%,No
TGFBR3,,1,1,7.10%,No
TNXB,,1,1,7.10%,No
TTN,,1,1,7.10%,No
YY1,,1,1,7.10%,Yes
ZNF708,,1,1,7.10%,No
ZNF91,,1,1,7.10%,No
CSDE1,,1,1,7.10%,Yes
HIST1H3B,,1,1,7.10%,Yes
EEA1,,1,1,7.10%,No
PPM1D,,1,1,7.10%,Yes
CYP4F2,,1,1,7.10%,No
PPFIA3,,1,1,7.10%,No
B3GALT1,,1,1,7.10%,No
FPGT,,1,1,7.10%,No
VNN2,,1,1,7.10%,No
PHOX2B,,1,1,7.10%,Yes
KALRN,,1,1,7.10%,No
SLC22A6,,1,1,7.10%,No
N4BP1,,1,1,7.10%,No
SLC35E2A,,1,1,7.10%,No
SLC23A2,,1,1,7.10%,No
MUC12,,1,1,7.10%,No
FRY,,1,1,7.10%,No
CEBPZ,,1,1,7.10%,No
PATJ,,1,1,7.10%,No
NPRL2,,1,1,7.10%,No
PROKR1,,1,1,7.10%,No
ASCC3,,1,1,7.10%,No
ADAMTS6,,1,1,7.10%,No
FNDC3A,,1,1,7.10%,No
NINL,,1,1,7.10%,No
MYO16,,1,1,7.10%,No
MTCL1,,1,1,7.10%,No
EHBP1,,1,1,7.10%,No
SUZ12,,1,1,7.10%,Yes
SPEF1,,1,1,7.10%,No
CHD5,,1,1,7.10%,No
FAM169A,,1,1,7.10%,No
AUTS2,,1,1,7.10%,No
OR1C1,,1,1,7.10%,No
SACS,,1,1,7.10%,No
ZNF544,,1,1,7.10%,No
IGHV3-21,,1,1,7.10%,No
ARHGEF4,,1,1,7.10%,No
TRIM17,,1,1,7.10%,No
MBIP,,1,1,7.10%,No
RSF1,,1,1,7.10%,No
UBASH3A,,1,1,7.10%,No
USP53,,1,1,7.10%,No
NXPE4,,1,1,7.10%,No
BDP1,,1,1,7.10%,No
SUSD2,,1,1,7.10%,No
IRGC,,1,1,7.10%,No
CABP5,,1,1,7.10%,No
COQ8A,,1,1,7.10%,No
CD177,,1,1,7.10%,No
MTUS1,,1,1,7.10%,No
MIB1,,1,1,7.10%,Yes
RANBP10,,1,1,7.10%,No
ZNF250,,1,1,7.10%,No
ZNF350,,1,1,7.10%,No
BCORL1,,1,1,7.10%,Yes
CDH24,,1,1,7.10%,No
PORCN,,1,1,7.10%,No
INTS3,,1,1,7.10%,No
BHLHE41,,1,1,7.10%,No
CXXC4,,1,1,7.10%,No
TMPRSS5,,1,1,7.10%,No
RAB33B,,1,1,7.10%,No
EPPK1,,1,1,7.10%,No
SLC35G5,,1,1,7.10%,No
SLX4,,1,1,7.10%,Yes
USP32,,1,1,7.10%,No
COL27A1,,1,1,7.10%,No
ITPRIP,,1,1,7.10%,No
SERPINB11,,1,1,7.10%,No
DPH6,,1,1,7.10%,No
CARMIL3,,1,1,7.10%,No
ARRDC4,,1,1,7.10%,No
MTSS2,,1,1,7.10%,No
AHNAK2,,1,1,7.10%,No
OSBPL1A,,1,1,7.10%,No
KIR3DL3,,1,1,7.10%,No
JSRP1,,1,1,7.10%,No
DNAH14,,1,1,7.10%,No
GALM,,1,1,7.10%,No
FAM241A,,1,1,7.10%,No
ANKRD19P,,1,1,7.10%,No
SMCR8,,1,1,7.10%,No
SSU72P3,,1,1,7.10%,No
CDAN1,,1,1,7.10%,No
PNPLA5,,1,1,7.10%,No
TMEM161B,,1,1,7.10%,No
MAMDC4,,1,1,7.10%,No
NKX2-3,,1,1,7.10%,No
SYNE3,,1,1,7.10%,No
LONRF2,,1,1,7.10%,No
WDR90,,1,1,7.10%,Yes
TTC21A,,1,1,7.10%,No
NLRP7,,1,1,7.10%,No
ZNF804B,,1,1,7.10%,No
TBC1D32,,1,1,7.10%,No
ADGRF5,,1,1,7.10%,No
SP8,,1,1,7.10%,No
SNX32,,1,1,7.10%,No
SDHAP1,,1,1,7.10%,No
TAS2R46,,1,1,7.10%,No
TAS2R19,,1,1,7.10%,No
TUBB8P12,,1,1,7.10%,No
CFAP47,,1,1,7.10%,No
C19ORF81,,1,1,7.10%,No
PRAMEF10,,1,1,7.10%,No
KIF24,,1,1,7.10%,No
RAET1G,,1,1,7.10%,No
THRAP3P1,,1,1,7.10%,No
POTEG,,1,1,7.10%,No
ZNF705A,,1,1,7.10%,No
NPIPB13,,1,1,7.10%,No
MBOAT4,,1,1,7.10%,No
FAM110C,,1,1,7.10%,No
CCDC192,,1,1,7.10%,No
ANKRD20A4,,1,1,7.10%,No
PRAMEF14,,1,1,7.10%,No
ARMCX4,,1,1,7.10%,No
POTEB,,1,1,7.10%,No
GOLGA8R,,1,1,7.10%,No
CCDC195,,1,1,7.10%,No